,Studio Code,Purchase Date,Invoice ID,Client ID,First Name,Last Name,Email,Phone #,Therapy Category,Business Category,Item,Sales Rep,Autopay Status,Quantity,Tax Amount,Discount,Credit Used,Unnamed: 17
0,SAMPLE,11/27/2023,31453168,1967445,William,Knight,tinastewart@example.net,3087313288,Memberships,Membership,Discover Membership,,Success,1,$0.00,$0.00,0,$119.00
1,SAMPLE,11/27/2023,31453169,1581035,Jim,Rice,henryscott@example.org,9722944082,Memberships,Membership,Discover Membership,,Success,1,$0.00,$0.00,0,$119.00
2,SAMPLE,11/27/2023,31453170,165736,Joshua,Woods,brian81@example.org,6826915133,Memberships,Membership,Wellness Membership - Couples,,Success,1,$0.00,$0.00,0,$169.00
3,SAMPLE,11/27/2023,31453171,115978,Cody,Farmer,katherine43@example.com,9730781167,Memberships,Membership,Discover Membership,,Success,1,$0.00,$0.00,0,$119.00
4,SAMPLE,11/27/2023,31453172,1734103,Kelsey,Clark,qharrington@example.net,6565004618,Memberships,Membership,Discover Membership,,Success,1,$0.00,$0.00,0,$119.00
5,SAMPLE,11/27/2023,31453173,947512,Timothy,Ibarra,isnyder@example.net,2090498241,Memberships,Membership,Discover Membership,,Success,1,$0.00,$0.00,0,$119.00
6,SAMPLE,11/27/2023,31453174,1268292,Stacey,Smith,casecameron@example.net,8824623801,Memberships,Membership,Level Up Membership,,Success,1,$0.00,$0.00,0,$199.00
7,SAMPLE,11/27/2023,31453175,277819,Paige,Logan,hayleyreed@example.net,8864187597,Memberships,Membership,Discover Membership,,Success,1,$0.00,$0.00,0,$119.00
8,SAMPLE,11/27/2023,31453176,1527517,Mark,Wilson,wcox@example.net,3841691482,Memberships,Membership,Discover Membership,,Success,1,$0.00,$0.00,0,$119.00
9,SAMPLE,11/27/2023,31453177,642168,Jill,Vaughn,gomezerin@example.com,5636920021,Memberships,Membership,Discover Membership,,Success,1,$0.00,$0.00,0,$119.00
10,SAMPLE,11/27/2023,31454732,555811,Denise,Davis,kathleen01@example.org,1219624575,Compression,Core Services,Compression,,In Studio Purchase,1,$0.00,$32.00,1,$0.00
11,SAMPLE,11/27/2023,31454732,2369438,Kelly,Henderson,melissamurphy@example.com,2805373098,IV Drips,Medical Services,Base IV Drip,,In Studio Purchase,1,$0.00,$132.00,4,$0.00
12,SAMPLE,11/27/2023,31454732,271626,Crystal,Fletcher,jjones@example.net,1164503532,IV Ingredients,Medical Services,Magnesium Sulfate,,In Studio Purchase,1,$0.00,$0.00,0,$0.00
13,SAMPLE,11/27/2023,31454736,1089079,Jeremy,Mccullough,hannahcain@example.com,7806754040,WBC,Core Services,WBC,,In Studio Purchase,1,$0.00,$32.00,1,$0.00
