,Studio Name,Day of Issue Date,Day of Expire Date,Client ID,Full Name,Email,Phone #,Business Category,Credit Source,Credit Description,Initial Credit Count,Used Credit Count,Remaining Credits,Index,Max date
0,SAMPLE,"February 18, 2022","February 18, 2024",1220649,Sheri Martinez,jillerickson@gmail.com,4452875113,Medical Services,Package,MB Migration,11,0,11,1,1/4/2024
1,SAMPLE,"March 7, 2022","March 7, 2024",2345564,Alan Garner,hmorgan@hotmail.com,2902241230,Medical Services,Package,MB Migration,2,0,2,2,1/4/2024
2,SAMPLE,"August 19, 2022","December 31, 2023",2269813,Nathan Rivera,holdengina@gmail.com,8160208507,Medical Services,Package,MB Migration,74,0,74,3,1/4/2024
3,SAMPLE,"November 6, 2022","March 19, 2024",1178169,Michael Erickson,buchananbrendan@gmail.com,1402966721,Medical Services,Package,MB Migration,2,0,2,4,1/4/2024
4,SAMPLE,"November 8, 2022","March 21, 2024",242800,Helen Poole,hreid@hotmail.com,5460691000,Medical Services,Package,MB Migration,2,0,2,5,1/4/2024
5,SAMPLE,"November 30, 2022","April 12, 2024",201545,Destiny Booth,rose76@gmail.com,2687691586,Medical Services,Package,MB Migration,12,0,12,6,1/4/2024
6,SAMPLE,"January 3, 2023","January 2, 2024",370379,Gabriel Rodgers,diane94@gmail.com,1456710206,Medical Services,Package,MB Migration,2,0,2,7,1/4/2024
7,SAMPLE,"January 23, 2023","February 26, 2024",1967884,Sherri Bailey,elijahpeterson@yahoo.com,9630226951,Medical Services,Package,MB Migration,24,0,24,8,1/4/2024
8,SAMPLE,"February 10, 2023","December 6, 2023",2297421,Angela Stout,marco06@hotmail.com,9854387318,Medical Services,Package,MB Migration,1,0,1,9,1/4/2024
9,SAMPLE,"May 23, 2023","December 8, 2023",1359875,Colton Wyatt,jonathanmorales@hotmail.com,8806133108,Medical Services,Package,MB Migration,8,0,8,10,1/4/2024
10,SAMPLE,"May 24, 2023","December 9, 2023",2192469,Teresa Ross,lindsay40@hotmail.com,2225904168,Medical Services,Package,MB Migration,33,0,33,11,1/4/2024
11,SAMPLE,"May 24, 2023","December 9, 2023",1177055,Veronica Harding,tstein@gmail.com,3130276295,Medical Services,Package,MB Migration,2,0,2,12,1/4/2024
12,SAMPLE,"May 29, 2023","March 13, 2024",1064860,Dr. Aaron Harvey,reginaldallen@yahoo.com,4036544909,Medical Services,Package,MB Migration,3,0,3,13,1/4/2024
13,SAMPLE,"May 31, 2023","December 16, 2023",775466,Julia Cisneros,smiller@yahoo.com,6341535177,Medical Services,Package,MB Migration,15,0,15,14,1/4/2024
14,SAMPLE,"June 4, 2023","December 20, 2023",1465835,Clinton Forbes,john88@hotmail.com,5930780334,Medical Services,Package,MB Migration,6,0,6,15,1/4/2024
15,SAMPLE,"June 10, 2023","December 26, 2023",1724198,Rachael Harris,maria80@hotmail.com,2299846256,Medical Services,Package,MB Migration,5,0,5,16,1/4/2024
16,SAMPLE,"June 30, 2023","January 16, 2024",1183708,Ethan Parker,codychung@gmail.com,5780786530,Medical Services,Package,mHbOT | 60 min | 10 Pack,7,0,7,17,1/4/2024
17,SAMPLE,"July 8, 2023","January 24, 2024",1508610,David Friedman,christopher49@hotmail.com,3663744308,Medical Services,Package,100 Ingredient Bundle,41,0,41,18,1/4/2024
18,SAMPLE,"July 25, 2023","February 10, 2024",1694783,Brandy Schmidt,willischristopher@gmail.com,3497838375,Medical Services,Package,30 Ingredient Bundle,12,0,12,19,1/4/2024
19,SAMPLE,"July 28, 2023","February 13, 2024",2141829,Lisa Leonard,ovilla@gmail.com,1399094274,Medical Services,Package,mHbOT | 60 min | 10 Pack,5,0,5,20,1/4/2024
20,SAMPLE,"August 18, 2023","March 5, 2024",465972,Caroline Bradshaw,millerrachel@yahoo.com,3508462490,Medical Services,Package,Base IV Drip | 10 Pack,6,0,6,21,1/4/2024
21,SAMPLE,"August 20, 2023","March 7, 2024",608507,Kevin Daugherty,rcollins@yahoo.com,6073435247,Medical Services,Package,Signature IM Shot | 10 Pack,8,0,8,22,1/4/2024
22,SAMPLE,"August 22, 2023","March 9, 2024",2138304,Ryan West,parkalexandra@yahoo.com,4483280407,Medical Services,Package,30 Ingredient Bundle,20,0,20,23,1/4/2024
