,Studio Name,Day of Issue Date,Day of Expire Date,Client ID,Full Name,Email,Phone #,Business Category,Credit Source,Credit Description,Initial Credit Count,Used Credit Count,Remaining Credits,Index,Max date
0,SAMPLE,"March 11, 2022","March 11, 2024",783620,Eric Dodson,hughesanna@gmail.com,1920271959,Skin Health,Package,MB Migration,1,0,1,1,1/4/2024
1,SAMPLE,"June 10, 2022","March 22, 2024",664080,Brandon Jones,amylopez@yahoo.com,3422944258,Skin Health,Package,MB Migration,1,0,1,2,1/4/2024
2,SAMPLE,"August 1, 2022","March 22, 2024",2341196,Larry Williams,usmith@gmail.com,6073519843,Skin Health,Package,MB Migration,3,0,3,3,1/4/2024
3,SAMPLE,"November 18, 2022","March 31, 2024",1645988,Louis Hill,jasonlopez@yahoo.com,5170301579,Skin Health,Package,MB Migration,2,0,2,4,1/4/2024
4,SAMPLE,"November 26, 2022","April 8, 2024",1748141,Ann Roberts,williamssamuel@yahoo.com,4406993913,Skin Health,Package,MB Migration,1,0,1,5,1/4/2024
5,SAMPLE,"December 6, 2022","April 18, 2024",333008,Stacy Mills,xperry@hotmail.com,9670875207,Skin Health,Package,MB Migration,2,0,2,6,1/4/2024
6,SAMPLE,"December 23, 2022","May 5, 2024",195489,Aaron Lawrence,xwashington@gmail.com,8132431106,Skin Health,Package,MB Migration,1,0,1,7,1/4/2024
7,SAMPLE,"January 19, 2023","June 1, 2024",1965578,David Johnson,kingjacob@gmail.com,9139834389,Skin Health,Package,MB Migration,1,0,1,8,1/4/2024
8,SAMPLE,"June 2, 2023","December 18, 2023",1016686,Becky Mcintosh,phillip17@gmail.com,2219658454,Skin Health,Package,MB Migration,7,0,7,9,1/4/2024
9,SAMPLE,"June 12, 2023","December 28, 2023",1658184,Jack Reynolds,sandra36@hotmail.com,7979814702,Skin Health,Package,MB Migration,3,0,3,10,1/4/2024
10,SAMPLE,"June 20, 2023","December 28, 2023",1406229,Thomas Mcdonald,taylormartinez@yahoo.com,6647561594,Skin Health,Package,Hydrafacial | Platinum | 3 Pack,1,0,1,11,1/4/2024
11,SAMPLE,"August 23, 2023","December 1, 2023",2024687,Amy Long,bethlee@hotmail.com,8121003194,Skin Health,Package,Cryoskin Facial | 5 Pack,1,0,1,12,1/4/2024
12,SAMPLE,"August 23, 2023","December 1, 2023",47054,Dr. Aaron Olson,randalljennifer@gmail.com,2197569145,Skin Health,Package,Cryoskin Facial Credit,1,0,1,13,1/4/2024
13,SAMPLE,"August 26, 2023","December 4, 2023",1803047,Diana Le,sarah77@hotmail.com,5719704169,Skin Health,Package,Circadia Oxygen Facial | 3 Pack,3,0,3,14,1/4/2024
14,SAMPLE,"August 26, 2023","December 4, 2023",1414741,Craig Williams,tiffanycunningham@hotmail.com,8116964597,Skin Health,Package,Circadia Oxygen Facial Credit,1,0,1,15,1/4/2024
15,SAMPLE,"August 26, 2023","December 4, 2023",1765653,Austin Fernandez,jasonmorrow@hotmail.com,4353568313,Skin Health,Package,Hydrafacial | Premium | 3 Pack,1,0,1,16,1/4/2024
16,SAMPLE,"August 26, 2023","December 4, 2023",756129,Mikayla Mullen,anita45@yahoo.com,1188953577,Skin Health,Package,Hydrafacial | Premium Credit,1,0,1,17,1/4/2024
17,SAMPLE,"August 31, 2023","December 9, 2023",1724190,Molly Taylor,snelson@hotmail.com,5751206669,Skin Health,Package,Hydrafacial | Premium | 3 Pack,2,0,2,18,1/4/2024
18,SAMPLE,"September 20, 2023","December 29, 2023",251946,Ricky David,mary21@yahoo.com,5030219740,Skin Health,Package,Hydrafacial | Premium | 3 Pack,3,0,3,19,1/4/2024
19,SAMPLE,"September 23, 2023","January 1, 2024",379359,John Morrison,msimon@yahoo.com,8986064725,Skin Health,Package,Circadia Oxygen Facial Credit,1,0,1,20,1/4/2024
20,SAMPLE,"September 26, 2023","January 4, 2024",2332394,Holly Hunt,oneillchristopher@yahoo.com,9448484761,Skin Health,Package,Hydrafacial | Back Credit,1,0,1,21,1/4/2024
21,SAMPLE,"September 27, 2023","January 5, 2024",422364,Amber Mcbride,williamsonjeffrey@hotmail.com,2458550378,Skin Health,Package,Hydrafacial | Signature | 3 Pack,2,0,2,22,1/4/2024
22,SAMPLE,"October 10, 2023","December 28, 2023",2349191,Mary Anderson,carlos15@gmail.com,8508862648,Skin Health,Package,Hydrafacial | Signature | 3 Pack,1,0,1,23,1/4/2024
23,SAMPLE,"October 10, 2023","January 18, 2024",484650,Jade Escobar,sdiaz@gmail.com,5220926172,Skin Health,Package,Cryoskin Facial Credit,1,0,1,24,1/4/2024
24,SAMPLE,"October 10, 2023","January 18, 2024",1389193,Melissa Beck,qbranch@yahoo.com,6494865042,Skin Health,Package,Cryoskin Slimming | 3 Pack,2,0,2,25,1/4/2024
25,SAMPLE,"October 10, 2023","January 18, 2024",914582,Timothy Osborne,shannoncarter@yahoo.com,9671613909,Skin Health,Package,Cryoskin Slimming Credit,1,0,1,26,1/4/2024
26,SAMPLE,"October 10, 2023","January 18, 2024",1797955,Amy Farrell,jessicamartin@hotmail.com,1506775701,Skin Health,Package,Hydrafacial | Premium | 3 Pack,2,0,2,27,1/4/2024
27,SAMPLE,"October 16, 2023","January 24, 2024",1021295,Andrew Dyer,qkrueger@gmail.com,8613710719,Skin Health,Package,Hydrafacial | Premium | 5 Pack,3,0,3,28,1/4/2024
28,SAMPLE,"October 19, 2023","January 26, 2024",2264149,Steven Rivers,timothygallagher@hotmail.com,4785861334,Skin Health,Package,Hydrafacial | Premium | 5 Pack,4,0,4,29,1/4/2024
29,SAMPLE,"October 19, 2023","January 27, 2024",1650418,Jennifer Townsend,kathydavis@gmail.com,3043971764,Skin Health,Package,Cryoskin Slimming | 3 Pack,3,0,3,30,1/4/2024
30,SAMPLE,"October 19, 2023","January 27, 2024",2136490,Richard Thomas,yoconnor@gmail.com,2427267563,Skin Health,Package,Cryoskin Slimming Credit,1,0,1,31,1/4/2024
31,SAMPLE,"October 19, 2023","January 27, 2024",1359839,Joshua Mendoza,whitney07@gmail.com,8769412640,Skin Health,Package,Hydrafacial | Signature Credit,1,0,1,32,1/4/2024
32,SAMPLE,"October 19, 2023","January 27, 2024",2360091,Denise Rowe,kathryn73@yahoo.com,3087403315,Skin Health,Package,Hydrafacial | Signature Credit,1,0,1,33,1/4/2024
33,SAMPLE,"October 19, 2023","January 27, 2024",1014212,Mr. Philip Harris,harrismatthew@gmail.com,1973772239,Skin Health,Package,Cryoskin Slimming | 5 Pack,1,0,1,34,1/4/2024
34,SAMPLE,"October 20, 2023","January 28, 2024",180763,Keith Garcia,thompsondavid@yahoo.com,2400966791,Skin Health,Package,Cryoskin Facial | 5 Pack,4,0,4,35,1/4/2024
35,SAMPLE,"October 20, 2023","January 28, 2024",525086,Miranda Riddle,joshuarobertson@hotmail.com,4586441029,Skin Health,Package,Hydrafacial | Signature | 5 Pack,1,0,1,36,1/4/2024
36,SAMPLE,"October 21, 2023","January 29, 2024",1884979,Brendan Russo,william92@hotmail.com,7712386077,Skin Health,Package,Cryoskin Facial | 5 Pack,3,0,3,37,1/4/2024
37,SAMPLE,"October 22, 2023","January 30, 2024",566164,Tyrone Brooks,vthompson@yahoo.com,5550170780,Skin Health,Package,Circadia Oxygen Facial | 5 Pack,4,0,4,38,1/4/2024
38,SAMPLE,"October 22, 2023","January 30, 2024",2254450,Katherine Walker,robertho@yahoo.com,3175065673,Skin Health,Package,Cryoskin Facial | 3 Pack,1,0,1,39,1/4/2024
39,SAMPLE,"October 22, 2023","January 30, 2024",185259,Anthony Ray,jacobsmith@yahoo.com,5860009722,Skin Health,Package,Cryoskin Slimming | 3 Pack,1,0,1,40,1/4/2024
40,SAMPLE,"October 22, 2023","May 9, 2024",2135739,Laura Brown,omolina@hotmail.com,7392873348,Skin Health,Package,Hydrafacial | Premium | 10 Pack,9,0,9,41,1/4/2024
41,SAMPLE,"October 22, 2023","May 9, 2024",2206454,Sheila King,jramirez@yahoo.com,8111263736,Skin Health,Package,Hydrafacial | Premium | 10 Pack,7,0,7,42,1/4/2024
42,SAMPLE,"October 23, 2023","January 31, 2024",541821,Mary Huynh,davidmitchell@gmail.com,3730087782,Skin Health,Package,Hydrafacial | Signature | 5 Pack,2,0,2,43,1/4/2024
43,SAMPLE,"October 24, 2023","May 11, 2024",1840541,George Ross,lydiagarcia@yahoo.com,2102555282,Skin Health,Package,Circadia Oxygen Facial | 10 Pack,9,0,9,44,1/4/2024
44,SAMPLE,"October 27, 2023","February 4, 2024",1248,Matthew Bennett,clarkkatherine@yahoo.com,7043120162,Skin Health,Package,Cryoskin Facial | 3 Pack,1,0,1,45,1/4/2024
45,SAMPLE,"November 8, 2023","February 16, 2024",240970,Anne Carter,derek45@hotmail.com,2199151786,Skin Health,Package,Hydrafacial | Premium | 5 Pack,2,0,2,46,1/4/2024
46,SAMPLE,"November 9, 2023","February 17, 2024",1757366,Mark Burns,keith90@gmail.com,1992396842,Skin Health,Package,Hydrafacial | Signature | 3 Pack,2,0,2,47,1/4/2024
47,SAMPLE,"November 17, 2023","February 25, 2024",478012,Jack White,vsmith@yahoo.com,3488227451,Skin Health,Package,Cryoskin Facial | 5 Pack,2,0,2,48,1/4/2024
48,SAMPLE,"November 18, 2023","February 26, 2024",438543,Jesse Logan,claudiaescobar@hotmail.com,1060120786,Skin Health,Package,Hydrafacial | Premium Credit,3,0,3,49,1/4/2024
49,SAMPLE,"November 22, 2023","December 20, 2023",703255,Kristopher Lopez,millerleonard@hotmail.com,6262064774,Skin Health,Package,Circadia Oxygen Facial | 5 Pack,1,0,1,50,1/4/2024
50,SAMPLE,"November 22, 2023","March 1, 2024",876981,Vanessa Herrera,jose83@yahoo.com,8448851021,Skin Health,Package,Circadia Oxygen Facial | 5 Pack,3,0,3,51,1/4/2024
51,SAMPLE,"November 22, 2023","March 1, 2024",2050623,Lori Sims,michael33@yahoo.com,4266914076,Skin Health,Package,Cryoskin Facial | 5 Pack,3,0,3,52,1/4/2024
52,SAMPLE,"November 27, 2023","March 6, 2024",1368533,Jeffery Olson,perezsarah@hotmail.com,5673214168,Skin Health,Package,Hydrafacial | Premium | 5 Pack,4,0,4,53,1/4/2024
