,Studio Code,Purchase Date,Invoice ID,Client ID,First Name,Last Name,Email,Phone #,Therapy Category,Business Category,Item,Sales Rep,Autopay Status,Quantity,Tax Amount,Discount,Credit Used,Unnamed: 17
0,SAMPLE,11/27/2023,31453168,562958,Jasmine,Perez,gmay@example.net,3090402202,Memberships,Membership,Discover Membership,,Success,1,$0.00,$0.00,0,$119.00
1,SAMPLE,11/27/2023,31453169,716695,Mary,Peters,erica83@example.org,6035273077,Memberships,Membership,Discover Membership,,Success,1,$0.00,$0.00,0,$119.00
2,SAMPLE,11/27/2023,31453170,1180060,Rebecca,Schmidt,anthony94@example.net,3217316312,Memberships,Membership,Wellness Membership - Couples,,Success,1,$0.00,$0.00,0,$169.00
3,SAMPLE,11/27/2023,31453171,665897,Lisa,Mills,lauren69@example.org,1767205366,Memberships,Membership,Discover Membership,,Success,1,$0.00,$0.00,0,$119.00
4,SAMPLE,11/27/2023,31453172,1180429,Robert,Boyer,mccoykevin@example.net,6353385804,Memberships,Membership,Discover Membership,,Success,1,$0.00,$0.00,0,$119.00
5,SAMPLE,11/27/2023,31453173,993787,Juan,Watkins,vmiller@example.com,1294319739,Memberships,Membership,Discover Membership,,Success,1,$0.00,$0.00,0,$119.00
6,SAMPLE,11/27/2023,31453174,1334444,Amy,Joyce,troyanderson@example.net,7772992853,Memberships,Membership,Level Up Membership,,Success,1,$0.00,$0.00,0,$199.00
7,SAMPLE,11/27/2023,31453175,1112063,Heather,Campbell,tom95@example.org,6954028751,Memberships,Membership,Discover Membership,,Success,1,$0.00,$0.00,0,$119.00
8,SAMPLE,11/27/2023,31453176,1562165,Robin,Barber,michaelpham@example.com,8241710895,Memberships,Membership,Discover Membership,,Success,1,$0.00,$0.00,0,$119.00
9,SAMPLE,11/27/2023,31453177,736731,Ana,Oconnor,megan66@example.com,2520403575,Memberships,Membership,Discover Membership,,Success,1,$0.00,$0.00,0,$119.00
10,SAMPLE,11/27/2023,31454732,1282461,Katelyn,Lane,websteraaron@example.org,8740938070,Compression,Core Services,Compression,,In Studio Purchase,1,$0.00,$32.00,1,$0.00
11,SAMPLE,11/27/2023,31454732,799864,Tammy,Holmes,smithwilliam@example.net,2201694865,IV Drips,Medical Services,Base IV Drip,,In Studio Purchase,1,$0.00,$132.00,4,$0.00
12,SAMPLE,11/27/2023,31454732,2238778,Theodore,Lee,ronaldknox@example.net,4498877334,IV Ingredients,Medical Services,Magnesium Sulfate,,In Studio Purchase,1,$0.00,$0.00,0,$0.00
13,SAMPLE,11/27/2023,31454736,150875,Logan,Smith,sandra40@example.net,3065980128,WBC,Core Services,WBC,,In Studio Purchase,1,$0.00,$32.00,1,$0.00
14,SAMPLE,11/27/2023,31454937,2121398,Amanda,Reeves,manuelwarren@example.org,4470899583,mHbOT,Medical Services,mHbOT | 60 min,,In Studio Purchase,1,$0.00,$126.00,0,$0.00
15,SAMPLE,11/27/2023,31454946,535018,Debbie,Frazier,operez@example.org,9212444024,mHbOT,Medical Services,mHbOT | 60 min,,In Studio Purchase,1,$0.00,$126.00,1,$0.00
16,SAMPLE,11/27/2023,31454946,2017764,Heather,Cuevas,kevinhester@example.com,5924528891,mHbOT,Medical Services,mHbOT | 90 min,,In Studio Purchase,1,$0.00,$126.00,1,$0.00
17,SAMPLE,11/27/2023,31455159,1295250,Christy,Alvarez,martinezsandra@example.org,4230055559,WBC,Core Services,WBC,,In Studio Purchase,1,$0.00,$32.00,1,$0.00
