,Studio Name,Day of Issue Date,Day of Expire Date,Client ID,Full Name,Email,Phone #,Business Category,Credit Source,Credit Description,Initial Credit Count,Used Credit Count,Remaining Credits,Index,Max date
0,SAMPLE,"February 18, 2022","February 18, 2024",1060490,Mr. David Spencer,michael63@hotmail.com,3301673734,Medical Services,Package,MB Migration,11,0,11,1,1/4/2024
1,SAMPLE,"March 7, 2022","March 7, 2024",2131149,Thomas Nelson,rodriguezcrystal@gmail.com,5152313657,Medical Services,Package,MB Migration,2,0,2,2,1/4/2024
2,SAMPLE,"August 19, 2022","December 31, 2023",716526,Martha Mathews,gmitchell@yahoo.com,5163879009,Medical Services,Package,MB Migration,74,0,74,3,1/4/2024
3,SAMPLE,"November 6, 2022","March 19, 2024",932541,Daniel Bennett,bakersusan@yahoo.com,6663542716,Medical Services,Package,MB Migration,2,0,2,4,1/4/2024
4,SAMPLE,"November 8, 2022","March 21, 2024",338046,Lisa Stevens,paulmartin@yahoo.com,8681221457,Medical Services,Package,MB Migration,2,0,2,5,1/4/2024
5,SAMPLE,"November 30, 2022","April 12, 2024",1653315,Julian Stone,beckersherry@hotmail.com,8132380783,Medical Services,Package,MB Migration,12,0,12,6,1/4/2024
6,SAMPLE,"January 3, 2023","January 2, 2024",2367840,Anthony Frey,cynthia21@gmail.com,1005701526,Medical Services,Package,MB Migration,2,0,2,7,1/4/2024
7,SAMPLE,"January 23, 2023","February 26, 2024",1686820,Rose Gonzalez,juliejones@hotmail.com,1228798060,Medical Services,Package,MB Migration,24,0,24,8,1/4/2024
8,SAMPLE,"February 10, 2023","December 6, 2023",2120564,Paula Hanson,andrewskimberly@yahoo.com,4065622757,Medical Services,Package,MB Migration,1,0,1,9,1/4/2024
9,SAMPLE,"May 23, 2023","December 8, 2023",1739517,Jennifer Richards,laura55@yahoo.com,1115094850,Medical Services,Package,MB Migration,8,0,8,10,1/4/2024
10,SAMPLE,"May 24, 2023","December 9, 2023",1660980,Sara Johnson,lydia80@gmail.com,5982323451,Medical Services,Package,MB Migration,33,0,33,11,1/4/2024
11,SAMPLE,"May 24, 2023","December 9, 2023",2105841,Sandra Reeves,ronald35@yahoo.com,5232712369,Medical Services,Package,MB Migration,2,0,2,12,1/4/2024
12,SAMPLE,"May 29, 2023","March 13, 2024",1119883,Bradley Taylor,richardhall@hotmail.com,7052354743,Medical Services,Package,MB Migration,3,0,3,13,1/4/2024
13,SAMPLE,"May 31, 2023","December 16, 2023",960719,John Lopez,barbara12@gmail.com,7821274558,Medical Services,Package,MB Migration,15,0,15,14,1/4/2024
14,SAMPLE,"June 4, 2023","December 20, 2023",1741829,Zachary Allen,owalker@yahoo.com,4423722466,Medical Services,Package,MB Migration,6,0,6,15,1/4/2024
15,SAMPLE,"June 10, 2023","December 26, 2023",172119,Cindy Smith,tricia00@gmail.com,2281797495,Medical Services,Package,MB Migration,5,0,5,16,1/4/2024
16,SAMPLE,"June 30, 2023","January 16, 2024",1505786,Paul Morales,andrea06@yahoo.com,8409662408,Medical Services,Package,mHbOT | 60 min | 10 Pack,7,0,7,17,1/4/2024
17,SAMPLE,"July 8, 2023","January 24, 2024",91174,Peter Joyce,ruth46@yahoo.com,7790597433,Medical Services,Package,100 Ingredient Bundle,41,0,41,18,1/4/2024
18,SAMPLE,"July 25, 2023","February 10, 2024",1190386,Elaine Cordova,raymond02@hotmail.com,2164467927,Medical Services,Package,30 Ingredient Bundle,12,0,12,19,1/4/2024
19,SAMPLE,"July 28, 2023","February 13, 2024",293669,Alicia Lee,nmora@hotmail.com,9634368625,Medical Services,Package,mHbOT | 60 min | 10 Pack,5,0,5,20,1/4/2024
20,SAMPLE,"August 18, 2023","March 5, 2024",2073954,Denise Rowe,veganathan@yahoo.com,3273621508,Medical Services,Package,Base IV Drip | 10 Pack,6,0,6,21,1/4/2024
21,SAMPLE,"August 20, 2023","March 7, 2024",1481210,William Coleman,steverodriguez@yahoo.com,6009064039,Medical Services,Package,Signature IM Shot | 10 Pack,8,0,8,22,1/4/2024
22,SAMPLE,"August 22, 2023","March 9, 2024",1689174,Nicole Holmes,keithbarker@yahoo.com,9629011918,Medical Services,Package,30 Ingredient Bundle,20,0,20,23,1/4/2024
23,SAMPLE,"August 23, 2023","March 10, 2024",138947,Heather Washington,daniel56@gmail.com,6528569543,Medical Services,Package,100 Ingredient Bundle,89,0,89,24,1/4/2024
24,SAMPLE,"August 26, 2023","December 4, 2023",1472934,Heather Little,curryaaron@gmail.com,8485434444,Medical Services,Package,mHbOT | 60 min | 3 Pack,2,0,2,25,1/4/2024
25,SAMPLE,"August 30, 2023","March 17, 2024",2069918,Christie Buchanan,christopherburgess@hotmail.com,8209327333,Medical Services,Package,mHbOT | 60 min | 10 Pack,3,0,3,26,1/4/2024
26,SAMPLE,"September 5, 2023","December 14, 2023",1427143,Rodney Roach,bradley14@gmail.com,2255895539,Medical Services,Package,High Dose Glutathione 1200mg | 3 Pack,2,0,2,27,1/4/2024
27,SAMPLE,"September 8, 2023","December 17, 2023",1987221,Rose Rivera,xclark@yahoo.com,4095234184,Medical Services,Package,Base IV Drip Credit,2,0,2,28,1/4/2024
28,SAMPLE,"September 22, 2023","December 31, 2023",2196814,Marcus Warren,timperez@hotmail.com,4658561800,Medical Services,Package,Premium IM Shot | 5 Pack,2,0,2,29,1/4/2024
29,SAMPLE,"September 22, 2023","December 31, 2023",196425,Raymond White,patrickrobinson@gmail.com,7645615302,Medical Services,Package,Signature IM Shot | 5 Pack,1,0,1,30,1/4/2024
30,SAMPLE,"September 22, 2023","December 31, 2023",1320209,Chad Peterson,kristen39@gmail.com,4120275387,Medical Services,Package,Premium IM Shot | 5 Pack,2,0,2,31,1/4/2024
31,SAMPLE,"September 22, 2023","December 31, 2023",1352926,Isabel Carroll,cherylwong@yahoo.com,9781769993,Medical Services,Package,Signature IM Shot | 5 Pack,2,0,2,32,1/4/2024
32,SAMPLE,"September 23, 2023","January 1, 2024",673359,Nicholas Moore,waltersann@yahoo.com,9849285680,Medical Services,Package,Signature IM Shot | 5 Pack,1,0,1,33,1/4/2024
33,SAMPLE,"September 23, 2023","January 1, 2024",90339,Cassie Haynes,powellmark@gmail.com,2318597671,Medical Services,Package,mHbOT | 60 min | 3 Pack,1,0,1,34,1/4/2024
34,SAMPLE,"September 23, 2023","January 1, 2024",2351288,Leslie Rivera,mweaver@hotmail.com,4676007584,Medical Services,Package,mHbOT Credit,1,0,1,35,1/4/2024
35,SAMPLE,"September 23, 2023","January 1, 2024",1927810,Alexis Rich,changchad@hotmail.com,1748306219,Medical Services,Package,mHbOT | 60 min | 5 Pack,2,0,2,36,1/4/2024
36,SAMPLE,"September 23, 2023","January 1, 2024",1901119,Michael Clark,lhoover@gmail.com,3497435102,Medical Services,Package,mHbOT Credit,1,0,1,37,1/4/2024
37,SAMPLE,"September 27, 2023","January 5, 2024",618891,Annette Miller,brandon52@gmail.com,2276760947,Medical Services,Package,Base IV Drip | 3 Pack,1,0,1,38,1/4/2024
38,SAMPLE,"September 27, 2023","April 14, 2024",2315525,Sierra Chapman,htaylor@gmail.com,6155865065,Medical Services,Package,30 Ingredient Bundle,10,0,10,39,1/4/2024
39,SAMPLE,"October 6, 2023","January 14, 2024",2329134,Andrew Harris,daniel17@yahoo.com,2681782121,Medical Services,Package,Premium IM Shot | 5 Pack,1,0,1,40,1/4/2024
40,SAMPLE,"October 14, 2023","January 22, 2024",2267808,Dr. James Mitchell,kathleenpowell@gmail.com,9067076447,Medical Services,Package,mHbOT | 60 min | 5 Pack,3,0,3,41,1/4/2024
41,SAMPLE,"October 16, 2023","December 12, 2023",2058343,Sara Bowman,maurice43@hotmail.com,8964281423,Medical Services,Package,NAD+ IV Drip Therapy 750mg | 4 Pack,1,0,1,42,1/4/2024
42,SAMPLE,"October 17, 2023","January 25, 2024",1101361,Sherri Washington,garciakyle@gmail.com,9105413889,Medical Services,Package,Signature IM Shot | 5 Pack,1,0,1,43,1/4/2024
43,SAMPLE,"October 18, 2023","May 5, 2024",590704,Rebecca Nelson,maryponce@gmail.com,9478161551,Medical Services,Package,30 Ingredient Bundle,30,0,30,44,1/4/2024
44,SAMPLE,"October 19, 2023","January 27, 2024",359711,Dana Terrell,jaredvargas@yahoo.com,4462912349,Medical Services,Package,Base IV Drip | 5 Pack,3,0,3,45,1/4/2024
45,SAMPLE,"October 19, 2023","January 27, 2024",1027846,Lindsay Anderson,jonestammy@gmail.com,5428795838,Medical Services,Package,mHbOT | 60 min | 5 Pack,4,0,4,46,1/4/2024
46,SAMPLE,"October 19, 2023","June 27, 2024",1123312,Anna Hale,ljones@yahoo.com,7169426175,Medical Services,Package,Signature IM Shot | 5 Pack,3,0,3,47,1/4/2024
47,SAMPLE,"October 20, 2023","May 7, 2024",81833,Jessica Williams,lechristopher@gmail.com,2670550493,Medical Services,Package,50 Ingredient Bundle,34,0,34,48,1/4/2024
48,SAMPLE,"October 20, 2023","May 7, 2024",640229,Jessica Rodriguez,jacobdavidson@hotmail.com,1681635001,Medical Services,Package,mHbOT | 60 min | 10 Pack,7,0,7,49,1/4/2024
49,SAMPLE,"October 20, 2023","May 7, 2024",1745933,Keith Leblanc,justin47@hotmail.com,5628880109,Medical Services,Package,Premium IM Shot | 10 Pack,7,0,7,50,1/4/2024
50,SAMPLE,"October 20, 2023","May 7, 2024",2383020,Sarah Allen,smithdestiny@gmail.com,9607069798,Medical Services,Package,Signature IM Shot | 10 Pack,8,0,8,51,1/4/2024
51,SAMPLE,"October 20, 2023","May 7, 2024",15531,David Gibbs,james82@hotmail.com,8131445711,Medical Services,Package,mHbOT | 60 min | 10 Pack,4,0,4,52,1/4/2024
52,SAMPLE,"October 21, 2023","January 29, 2024",58527,Hannah Wells,foxdavid@hotmail.com,3013655570,Medical Services,Package,NAD+ IV Drip Therapy 750mg | 4 Pack,4,0,4,53,1/4/2024
53,SAMPLE,"October 21, 2023","January 29, 2024",580578,Tonya Long,joshua53@yahoo.com,1886923214,Medical Services,Package,Signature IM Shot | 5 Pack,3,0,3,54,1/4/2024
54,SAMPLE,"October 21, 2023","January 29, 2024",641422,Roger Wong,brandtmadison@yahoo.com,5168585738,Medical Services,Package,mHbOT | 60 min | 5 Pack,3,0,3,55,1/4/2024
55,SAMPLE,"October 21, 2023","May 8, 2024",357770,Mary Brown,rubenquinn@gmail.com,4194641073,Medical Services,Package,50 Ingredient Bundle,42,0,42,56,1/4/2024
56,SAMPLE,"October 21, 2023","May 8, 2024",2353349,Rachel Chandler,murphygrant@hotmail.com,4041467415,Medical Services,Package,mHbOT | 60 min | 10 Pack,2,0,2,57,1/4/2024
57,SAMPLE,"October 22, 2023","January 2, 2024",2200473,Stephanie Boyle,heather74@gmail.com,1420278097,Medical Services,Package,High Dose Glutathione 1200mg | 10 Pack,1,0,1,58,1/4/2024
