,Studio Name,Day of Issue Date,Day of Expire Date,Client ID,Full Name,Email,Phone #,Business Category,Credit Source,Credit Description,Initial Credit Count,Used Credit Count,Remaining Credits,Index,Max date
0,SAMPLE,"March 11, 2022","March 11, 2024",1307018,Matthew Giles DDS,knguyen@hotmail.com,7267715491,Skin Health,Package,MB Migration,1,0,1,1,1/4/2024
1,SAMPLE,"June 10, 2022","March 22, 2024",1784246,Shannon Parker,ogarcia@hotmail.com,1126329059,Skin Health,Package,MB Migration,1,0,1,2,1/4/2024
2,SAMPLE,"August 1, 2022","March 22, 2024",1184808,Karen Beltran,swhite@gmail.com,5501955406,Skin Health,Package,MB Migration,3,0,3,3,1/4/2024
3,SAMPLE,"November 18, 2022","March 31, 2024",162559,Eddie Turner,ljordan@yahoo.com,4364783585,Skin Health,Package,MB Migration,2,0,2,4,1/4/2024
4,SAMPLE,"November 26, 2022","April 8, 2024",1490576,Heather Hunter,edward82@hotmail.com,1124622263,Skin Health,Package,MB Migration,1,0,1,5,1/4/2024
5,SAMPLE,"December 6, 2022","April 18, 2024",1829653,Marisa Nelson,susanandrews@hotmail.com,1316370206,Skin Health,Package,MB Migration,2,0,2,6,1/4/2024
6,SAMPLE,"December 23, 2022","May 5, 2024",1829371,Helen Little,harrisjustin@yahoo.com,1494640982,Skin Health,Package,MB Migration,1,0,1,7,1/4/2024
7,SAMPLE,"January 19, 2023","June 1, 2024",2372732,Dale Stephens,williammaldonado@gmail.com,9271307747,Skin Health,Package,MB Migration,1,0,1,8,1/4/2024
8,SAMPLE,"June 2, 2023","December 18, 2023",403130,Luke Velasquez,audreymorales@gmail.com,9997099683,Skin Health,Package,MB Migration,7,0,7,9,1/4/2024
9,SAMPLE,"June 12, 2023","December 28, 2023",889432,Charles Cochran,jessedavis@gmail.com,3628434229,Skin Health,Package,MB Migration,3,0,3,10,1/4/2024
10,SAMPLE,"June 20, 2023","December 28, 2023",1344941,Brandy Roberson,kaiserjohn@yahoo.com,1829761777,Skin Health,Package,Hydrafacial | Platinum | 3 Pack,1,0,1,11,1/4/2024
11,SAMPLE,"August 23, 2023","December 1, 2023",1820931,Peter Wise,thomasjackson@hotmail.com,3812744129,Skin Health,Package,Cryoskin Facial | 5 Pack,1,0,1,12,1/4/2024
12,SAMPLE,"August 23, 2023","December 1, 2023",902218,Amber Fuller,vduke@gmail.com,4178633919,Skin Health,Package,Cryoskin Facial Credit,1,0,1,13,1/4/2024
13,SAMPLE,"August 26, 2023","December 4, 2023",302047,Jennifer Howard,krichards@hotmail.com,2980727426,Skin Health,Package,Circadia Oxygen Facial | 3 Pack,3,0,3,14,1/4/2024
14,SAMPLE,"August 26, 2023","December 4, 2023",85808,Dustin Lambert,hschultz@yahoo.com,4790010062,Skin Health,Package,Circadia Oxygen Facial Credit,1,0,1,15,1/4/2024
15,SAMPLE,"August 26, 2023","December 4, 2023",453261,Melissa Baker,williamsnicole@hotmail.com,4149133294,Skin Health,Package,Hydrafacial | Premium | 3 Pack,1,0,1,16,1/4/2024
16,SAMPLE,"August 26, 2023","December 4, 2023",924681,Rachel Cobb,andrewpollard@hotmail.com,2985325919,Skin Health,Package,Hydrafacial | Premium Credit,1,0,1,17,1/4/2024
17,SAMPLE,"August 31, 2023","December 9, 2023",488961,Kimberly Ruiz,robert23@hotmail.com,5475241351,Skin Health,Package,Hydrafacial | Premium | 3 Pack,2,0,2,18,1/4/2024
18,SAMPLE,"September 20, 2023","December 29, 2023",2004057,Amy Villegas,adamcharles@gmail.com,3809779150,Skin Health,Package,Hydrafacial | Premium | 3 Pack,3,0,3,19,1/4/2024
19,SAMPLE,"September 23, 2023","January 1, 2024",1955435,Robert Cooper,joel26@gmail.com,1409130166,Skin Health,Package,Circadia Oxygen Facial Credit,1,0,1,20,1/4/2024
20,SAMPLE,"September 26, 2023","January 4, 2024",2189414,Sarah Chan,mariadickerson@hotmail.com,4318415558,Skin Health,Package,Hydrafacial | Back Credit,1,0,1,21,1/4/2024
21,SAMPLE,"September 27, 2023","January 5, 2024",116137,Trevor Garza,matthew29@hotmail.com,1473285318,Skin Health,Package,Hydrafacial | Signature | 3 Pack,2,0,2,22,1/4/2024
22,SAMPLE,"October 10, 2023","December 28, 2023",1137632,Cheryl Fernandez,selenabrown@yahoo.com,5434578502,Skin Health,Package,Hydrafacial | Signature | 3 Pack,1,0,1,23,1/4/2024
23,SAMPLE,"October 10, 2023","January 18, 2024",523092,Roy Bradley PhD,shannonyoung@yahoo.com,9473835668,Skin Health,Package,Cryoskin Facial Credit,1,0,1,24,1/4/2024
24,SAMPLE,"October 10, 2023","January 18, 2024",1340700,Nathan Lynch,donald03@yahoo.com,1566194383,Skin Health,Package,Cryoskin Slimming | 3 Pack,2,0,2,25,1/4/2024
